
train_id,train_type,section,start_time,end_time,priority,delay_minutes

P101,Passenger,A-B,08:00,08:20,High,0
P102,Passenger,A-B,09:30,09:45,High,0
P103,Passenger,A-B,11:00,11:20,High,0
G201,Goods,A-B,12:30,12:50,Medium,0
P104,Passenger,A-B,14:00,14:20,High,0
P105,Passenger,A-B,16:00,16:15,High,0

P201,Passenger,B-C,08:15,08:30,High,0
G202,Goods,B-C,10:00,10:25,Medium,0
P202,Passenger,B-C,12:00,12:20,High,0
P203,Passenger,B-C,14:30,14:45,High,0
G203,Goods,B-C,16:30,16:55,Medium,0

P301,Passenger,C-D,08:30,08:50,High,0
P302,Passenger,C-D,10:30,10:45,High,0
G301,Goods,C-D,12:15,12:40,Medium,0
P303,Passenger,C-D,15:00,15:20,High,0
P304,Passenger,C-D,17:00,17:15,High,0

P401,Passenger,D-E,09:00,09:20,High,0
G401,Goods,D-E,11:30,11:55,Medium,0
P402,Passenger,D-E,13:30,13:50,High,0
P403,Passenger,D-E,16:00,16:20,High,0

P501,Passenger,E-F,08:00,08:20,High,0
G501,Goods,E-F,09:30,10:00,Medium,0
P502,Passenger,E-F,11:30,11:50,High,0
P503,Passenger,E-F,14:00,14:20,High,0
G502,Goods,E-F,16:00,16:30,Medium,0
